siteid,station name,station contry,total samples,imbalance degree,weight factor,f1,recall,precision,f2,roc_auc,accuracy,log_loss
415547,Birkenesobservatoriet,Norway,1791,21.9615,3,0.3333,0.25,0.5,0.2778,0.9398,0.9554,0.1142
415549,Offagne,Belgium,6556,5.8721,2,0.7732,0.749,0.7991,0.7585,0.9661,0.936,0.1743
415550,Cabauw Zijdeweg,Netherlands,1106,12.4878,3,0.6667,0.7143,0.625,0.6944,0.968,0.9458,0.1785
415551,Rörvik,Sweden,3908,7.2797,3,0.6818,0.7627,0.6164,0.7282,0.9483,0.9141,0.1938
415552,Zingst,Germany,7436,9.1308,2,0.6667,0.6141,0.729,0.6341,0.9594,0.9392,0.1465
415553,"""K-puszta""",Hungary,6584,1.7664,1.7664,0.8453,0.8723,0.8199,0.8613,0.9569,0.8846,0.5409
415554,Norra Kvill,Sweden,8162,7.1295,3,0.6996,0.6773,0.7234,0.686,0.9618,0.9285,0.1688
415555,Strathvaich - UKA00162,United Kingdom of Great Britain and Northern Ireland,7588,14.4228,3,0.5854,0.4878,0.7317,0.5226,0.9498,0.9552,0.1403
415556,NIEMBRO,Spain,5049,7.968,4,0.6047,0.6454,0.5688,0.6285,0.9176,0.9058,0.2237
415558,Aston Hill - UKA00137,United Kingdom of Great Britain and Northern Ireland,8296,12.9663,3,0.6093,0.6174,0.6013,0.6142,0.9477,0.9431,0.1389
415559,Virolahti II,Finland,7051,9.9149,4,0.6448,0.7329,0.5756,0.6949,0.9533,0.9263,0.1688
415561,Somerton,United Kingdom of Great Britain and Northern Ireland,3350,11.9845,3,0.687,0.6923,0.6818,0.6902,0.954,0.9511,0.1358
415563,Eskdalemuir - UKA00130,United Kingdom of Great Britain and Northern Ireland,8627,26.4745,2,0.5797,0.5128,0.6667,0.5376,0.9653,0.9731,0.0852
415564,Graz Lustbühel,Austria,1130,3.3969,3.3969,0.7669,0.7969,0.7391,0.7846,0.9446,0.8905,0.2667
415565,De Zilk,Netherlands,2439,14.3396,2,0.5758,0.475,0.7308,0.5108,0.9267,0.9541,0.165
415566,Drôme Rurale Sud-SND,France,844,2.5021,2.5021,0.85,0.85,0.85,0.85,0.9596,0.9151,0.2588
415568,Ansbach,Germany,3680,5.548,3,0.7203,0.7943,0.6588,0.7629,0.9564,0.9055,0.2035
415572,Bonnevaux,France,804,3.2316,3.2316,0.75,0.75,0.75,0.75,0.9129,0.8812,0.4105
415574,Montandon,France,5333,7.0316,2,0.7129,0.6807,0.7483,0.6933,0.9453,0.9318,0.1963
415577,Grimsö,Sweden,4308,14.4964,4,0.6131,0.6,0.6269,0.6052,0.9462,0.9508,0.1298
415578,"""Chopok - EMEP/O3""",Slovakia,5073,1.0937,1.0937,0.8645,0.8581,0.871,0.8606,0.9479,0.8716,0.3239
415579,Rigi-Seebodenalp,Switzerland,7132,1.8898,1.8898,0.8337,0.8574,0.8113,0.8478,0.9533,0.8817,0.2774
415580,Bredkälen,Sweden,3598,43.4198,2,0.2105,0.2,0.2222,0.2041,0.8718,0.9667,0.1514
415581,Brotjacklriegel,Germany,5512,2.0656,2.0656,0.7977,0.7817,0.8144,0.7881,0.9491,0.8708,0.6217
415582,Bassum,Germany,4900,7.6268,3,0.7622,0.7676,0.7569,0.7654,0.9691,0.9445,0.1377
415583,Schmücke,Germany,7218,2.9616,2.9616,0.8182,0.8487,0.7898,0.8362,0.9647,0.9047,0.2178
415584,Vindeln,Sweden,8221,20.7487,4,0.5269,0.5213,0.5326,0.5235,0.9443,0.9572,0.1101
415586,Wicken Fen - UKA00362,United Kingdom of Great Britain and Northern Ireland,5043,11.5761,11.5761,0.6638,0.78,0.5778,0.729,0.9641,0.9374,0.1439
415589,Hallahus,Sweden,288,9.2857,3,0.4,0.2857,0.6667,0.3226,0.9209,0.9167,0.1927
415590,Śnieżka,Poland,6137,1.757,1.757,0.7934,0.7756,0.812,0.7826,0.9245,0.8534,0.4137
415591,AT80503,Austria,7720,1.7164,1.7164,0.8599,0.8648,0.8552,0.8628,0.9622,0.8964,0.2598
415592,Eupen,Belgium,7101,6.4905,3,0.7549,0.8059,0.71,0.7847,0.9683,0.9302,0.1655
415593,Ispra,Italy,7012,2.2936,2.2936,0.8459,0.8308,0.8616,0.8368,0.9671,0.9082,0.341
415594,MAHÓN,Spain,1656,2.332,2.332,0.7354,0.856,0.6446,0.8033,0.8853,0.8145,0.4183
415595,Aspvreten,Sweden,7711,7.8632,3,0.6636,0.656,0.6714,0.659,0.9416,0.9248,0.184
415596,Preila,Lithuania,1117,14.7324,3,0.3333,0.2778,0.4167,0.2976,0.8654,0.9286,0.2282
415602,Graz Platte,Austria,5307,1.585,1.585,0.8673,0.8791,0.8558,0.8744,0.97,0.896,0.2163
415603,BARCARROTA,Spain,5034,4.9786,3,0.7317,0.782,0.6875,0.7611,0.9535,0.9039,0.2166
415606,Zoseni,Latvia,2395,8.2829,3,0.6667,0.6875,0.6471,0.679,0.9407,0.9265,0.1825
415607,St. Osyth,United Kingdom of Great Britain and Northern Ireland,4086,15.4096,4,0.5455,0.4839,0.625,0.5068,0.9367,0.9511,0.1295
415609,La Coulonche,France,2556,7.1401,3,0.7044,0.7089,0.7,0.7071,0.9447,0.9264,0.1875
415613,Great Dun Fell - UKA00134,United Kingdom of Great Britain and Northern Ireland,6949,17.5802,2,0.6897,0.6452,0.7407,0.6623,0.97,0.9689,0.1285
415614,Cabauw Wielsekade,Netherlands,1414,15.0682,4,0.6512,0.6364,0.6667,0.6422,0.9191,0.9576,0.1349
415615,Rucava,Latvia,5660,9,9,0.6548,0.6479,0.6619,0.6506,0.9396,0.9314,0.1872
415616,Ähtäri,Finland,2889,11.7269,3,0.6095,0.5614,0.6667,0.5797,0.946,0.9433,0.1527
415617,Lullington Heath - UKA00152,United Kingdom of Great Britain and Northern Ireland,7873,8.5779,3,0.678,0.6829,0.6731,0.6809,0.9498,0.9325,0.1853
415618,Wharley Croft,United Kingdom of Great Britain and Northern Ireland,2560,14.6098,4,0.6988,0.7073,0.6905,0.7039,0.9656,0.961,0.0998
415619,Montelibretti,Italy,5558,1.9738,1.9738,0.8672,0.8951,0.841,0.8837,0.9699,0.9079,0.2174
415621,Montfranc,France,3652,3.8693,3.8693,0.7672,0.7713,0.7632,0.7696,0.9422,0.9036,0.3054
415624,Svratouch,Czech Republic,5594,3.0713,3.0713,0.8196,0.828,0.8114,0.8246,0.9633,0.9107,0.2447
415628,Waldhof,Germany,9009,4.6911,2,0.7664,0.7374,0.7978,0.7487,0.9656,0.921,0.19
415629,Virolahti III,Finland,854,27.4667,2,0.5333,0.5,0.5714,0.5128,0.9782,0.9673,0.0909
415632,Morvan,France,4844,5.1316,3,0.7961,0.8223,0.7714,0.8116,0.9658,0.9315,0.1775
415633,Dunkelsteinerwald,Austria,7587,2.9974,2.9974,0.8247,0.8186,0.8308,0.821,0.9643,0.913,0.2812
415635,Gerlitzen,Austria,7195,0.9326,0.9326,0.8982,0.9141,0.8828,0.9076,0.9612,0.8927,0.4077
415636,IMGW Łeba - Rąbka,Poland,6322,5.776,3,0.6297,0.6824,0.5846,0.6603,0.9285,0.8817,0.242
